Model	Type	Row	Area	AreaAbs	Pattern	TimeStep	TotalCAsize	Neurons_Shared0	Neurons_Shared1	Neurons_Shared2	Neurons_Shared3
M01	pair33	2	1	7	P1	30	1	433			
M01	pair33	2	2	8	P1	30	2	428#350			
M01	pair33	2	3	9	P1	30	8	353#355#358#427#525#403#407#284			
M01	pair33	2	4	10	P1	30	6	385#403#284#381#479			448
M01	pair33	2	5	11	P1	30	4	457#330#284#386			
M01	pair33	2	6	12	P1	30	1	354			
M02	pair33	1	1	1	P1	1	0				
M02	pair33	1	2	2	P1	1	0				
M02	pair33	1	3	3	P1	1	0				
M02	pair33	1	4	4	P1	1	0				
M02	pair33	1	5	5	P1	1	0				
M02	pair33	1	6	6	P1	1	0				
M02	pair33	2	1	7	P1	1	0				
M02	pair33	2	2	8	P1	1	0				
M02	pair33	2	3	9	P1	1	0				
M02	pair33	2	4	10	P1	1	0				
M02	pair33	2	5	11	P1	1	0				
M02	pair33	2	6	12	P1	1	0				
M02	pair33	1	1	1	P1	2	0				
M02	pair33	1	2	2	P1	2	0				
M02	pair33	1	3	3	P1	2	0				
M02	pair33	1	4	4	P1	2	0				
M02	pair33	1	5	5	P1	2	0				
M02	pair33	1	6	6	P1	2	0				
M02	pair33	2	1	7	P1	2	0				
M02	pair33	2	2	8	P1	2	6	544#579#10#556#525#53			
M02	pair33	2	3	9	P1	2	4	553#482#538#429			
M02	pair33	2	4	10	P1	2	7	7#12#76#432#529#278#90			
M02	pair33	2	5	11	P1	2	3	584#435#551			
M02	pair33	2	6	12	P1	2	0				
M02	pair33	1	1	1	P1	3	0				
M02	pair33	1	2	2	P1	3	0				
M02	pair33	1	3	3	P1	3	17	1#325#586#303#560#84	483#521#592#57#379#61	551#296#557#63#287	
M02	pair33	1	4	4	P1	3	17	105#138#554#499#380	454#330#337#152	294#550#402#531#156#29#381#159	
M02	pair33	1	5	5	P1	3	0				
M02	pair33	1	6	6	P1	3	0				
M02	pair33	2	1	7	P1	3	0				
M02	pair33	2	2	8	P1	3	4	544#506#53#525			
M02	pair33	2	3	9	P1	3	3	553#482#538			
M02	pair33	2	4	10	P1	3	6	7#12#76#432#529#278			
M02	pair33	2	5	11	P1	3	2	584#551			
M02	pair33	2	6	12	P1	3	2	289#362			
M02	pair33	1	1	1	P1	4	7		31	197#6#11#87#600#510	
M02	pair33	1	2	2	P1	4	35	134#530#285#30#32#553#298#557#59#208#478#480#226#610#229#233#501#252#511	2#13#276#163#185#577#213#357#249#507	143#39#580#459#344#353	
M02	pair33	1	3	3	P1	4	15	1#325#586#303#560#84	483#57#379#61	551#296#557#63#287	
M02	pair33	1	4	4	P1	4	16	105#138#554#380	454#330#337#152	294#550#402#531#156#29#381#159	
M02	pair33	1	5	5	P1	4	26	27#59#79#605#607#483#377	527#546#430#580#73#331#354#101#364#501#255	262#135#286#424#309#185#226#237	
M02	pair33	1	6	6	P1	4	13		166#376#390#236#333#56#59	4#356#139#501#215#286	
M02	pair33	2	1	7	P1	4	2	433#460			
M02	pair33	2	2	8	P1	4	2	506#53			
M02	pair33	2	3	9	P1	4	3	553#482#538			
M02	pair33	2	4	10	P1	4	6	7#12#76#432#529#278			
M02	pair33	2	5	11	P1	4	3	584#436#551			
M02	pair33	2	6	12	P1	4	0				
M02	pair33	1	1	1	P1	5	4		31	600#197#6	
M02	pair33	1	2	2	P1	5	18	229#557#530#501	577#2#163#185#13#276#249#507	353#580#39#459#143#344	
M02	pair33	1	3	3	P1	5	15	1#325#586#303#560#84	483#57#379#61	551#296#557#63#287	
M02	pair33	1	4	4	P1	5	16	105#138#554#380	454#330#337#152	294#550#402#531#156#29#381#159	
M02	pair33	1	5	5	P1	5	23	27#59#79#483#377	527#430#580#73#331#354#101#364#501#255	262#135#286#424#309#185#226#237	
M02	pair33	1	6	6	P1	5	9		376#236#333#56#59	4#356#501#286	
M02	pair33	2	1	7	P1	5	2	433#460			
M02	pair33	2	2	8	P1	5	3	458#506#53			
M02	pair33	2	3	9	P1	5	6	482#390#553#534#538#31			
M02	pair33	2	4	10	P1	5	9	7#456#12#76#432#529#181#278#605			
M02	pair33	2	5	11	P1	5	3	584#436#551			
M02	pair33	2	6	12	P1	5	0				
M02	pair33	1	1	1	P1	6	4		31	600#197#6	
M02	pair33	1	2	2	P1	6	16	229#530#501	577#2#163#185#10#13#276#249#507	353#580#459#344	
M02	pair33	1	3	3	P1	6	16	1#325#586#303#560#84	483#521#57#379#61	551#296#557#63#287	
M02	pair33	1	4	4	P1	6	17	105#138#554#380	454#330#110#337#152	294#550#402#531#156#29#381#159	
M02	pair33	1	5	5	P1	6	22	27#59#79#483#377	527#430#580#73#331#354#101#364#501#255	135#286#424#309#185#226#237	
M02	pair33	1	6	6	P1	6	9		376#236#333#56#59	4#356#501#286	
M02	pair33	2	1	7	P1	6	1	280			
M02	pair33	2	2	8	P1	6	3	458#506#53			
M02	pair33	2	3	9	P1	6	6	482#390#553#534#538#31			
M02	pair33	2	4	10	P1	6	9	7#456#12#76#432#529#181#278#605			
M02	pair33	2	5	11	P1	6	3	584#436#551			
M02	pair33	2	6	12	P1	6	0				
M02	pair33	1	1	1	P1	7	5		427#439	197#584#600	
M02	pair33	1	2	2	P1	7	12	501	577#2#163#10#13#276#249#507	353#580#459	
M02	pair33	1	3	3	P1	7	15	1#325#586#303#560#84	483#57#379#61	551#296#557#63#287	
M02	pair33	1	4	4	P1	7	17	105#138#554#380	454#330#110#337#152	294#550#402#531#156#29#381#159	
M02	pair33	1	5	5	P1	7	17	483#59#79#377#27	580#101#354#331#364#430#527#501#255	226#237#286	
